STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,STATION,Weather Stations,CLIMATE_INDIC,Climate Indicators,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-10,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-11,,4,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2018-12,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-01,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-02,,10,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-03,,9,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-04,,10,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-05,,3,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-06,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-07,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-09,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-10,,3,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-11,,5,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2019-12,,7,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-01,,8,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-02,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-03,,5,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-04,,9,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-05,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-06,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-07,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-09,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-10,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-11,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2020-12,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-01,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-02,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-03,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-04,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-05,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-06,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-07,,2,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-08,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-09,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-10,,0,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-11,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2021-12,,1,,,,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2022-01,,7,,1,One,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2022-02,,0,,1,One,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2022-03,,0,,1,One,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2022-04,,0,,1,One,,,,,,
DATAFLOW,FCSA:DF_CLIMATE_RAIN(3.7.0),Climate - Rainfall Indicators by Weather Stations,I,RAIN,Rainfall Indicators,NUMBER,Number,AE,UAE,M,Monthly,UQWS,Umm Al Quwain  Station,RAINY_DAYS,Rainy Days,NCM,National Center of Meteorology,2022-05,,0,,1,One,,,,,,
